,region,ode_name,num,epochs,latent_dim,2015 7,2015 14,2015 21,2015 28,2016 7,2016 14,2016 21,2016 28,2017 7,2017 14,2017 21,2017 28,2018 7,2018 14,2018 21,2018 28,skill 2015 7,skill 2015 14,skill 2015 21,skill 2015 28,skill 2016 7,skill 2016 14,skill 2016 21,skill 2016 28,skill 2018 7,skill 2018 14,skill 2018 21,skill 2018 28,skill 2017 7,skill 2017 14,skill 2017 21,skill 2017 28
293,US,UONN,15.0,200.0,8.0,0.273098045,0.578128473,1.146132592,2.328782737,1.588141062,1.68073708,1.783099617,1.889920882,2.469308513,2.463553806,2.647456844,2.979106273,0.302832572,0.402678814,0.650582474,0.951149166,0.886007791,0.796836641,0.636443816,0.439839173,0.257248245,0.240385,0.222237235,0.204311644,0.640493804,0.577612887,0.495695687,0.422970751,0.149765006,0.145606293,0.128464859,0.105619673
294,US,CONN,15.0,200.0,8.0,1.521284785,0.943900003,1.103147529,1.538615689,0.586637775,0.803558286,1.235782966,1.732712188,1.310825418,0.663179192,0.682949421,1.175898497,0.492266076,0.824256431,1.09483062,1.317209153,0.869813065,0.795603168,0.68461236,0.612021673,0.617803931,0.618808278,0.539857128,0.446039726,0.569663785,0.42857686,0.338107348,0.277610781,0.677855341,0.533162115,0.432181269,0.355756885
295,US,CONNb,15.0,200.0,8.0,-0.067039301,-0.114541153,0.063159593,0.375327778,1.311665867,1.586820586,1.904554057,2.242225363,0.567677529,0.870936391,1.54932643,3.076985945,0.228351027,0.275888913,0.519743247,0.868347851,0.818253598,0.727214075,0.646981764,0.582714845,0.332824106,0.270949744,0.212968184,0.164827653,0.656507579,0.637888152,0.560099615,0.477357814,0.372892882,0.371761334,0.306888728,0.170526911
296,US,UONNb,15.0,200.0,8.0,0.061783405,0.089197876,0.116782943,0.401985057,1.280538253,1.101540284,1.403115726,1.565983627,1.645111585,2.049288281,2.870761463,4.099944296,0.300954841,0.188499676,0.376189143,0.747078144,0.843060878,0.749030971,0.7193184,0.680499907,0.357417898,0.366614543,0.307636456,0.248169392,0.667222418,0.663069378,0.588071853,0.501044359,0.263174227,0.22620521,0.164804891,0.101050166
297,US,CONN,16.0,200.0,8.0,2.052299863,1.387782742,1.54143769,2.468927034,0.136014226,0.355839166,1.45359367,2.468697935,1.482754117,1.766301029,2.18289674,2.708381311,0.216343828,0.439410411,0.95514803,1.850054699,0.924123735,0.778061412,0.643785009,0.537075133,0.598235939,0.572194007,0.417232327,0.298918014,0.769486095,0.62271273,0.480625733,0.342001242,0.292982657,0.287163919,0.235289519,0.146510666
298,US,CONNb,16.0,200.0,8.0,0.482370415,0.72288204,0.249496338,0.183383349,-0.032335005,0.170761953,0.547327115,0.922130044,-0.012075758,0.304291691,1.15626952,2.723582376,1.186142522,2.486133537,4.668415917,7.355282908,0.846962194,0.702391082,0.733971119,0.761115664,0.681627547,0.588836596,0.491294316,0.4218246,0.630241469,0.463668661,0.365124495,0.247609491,0.70465833,0.59477316,0.440585713,0.250683269
299,US,UONNb,16.0,200.0,8.0,0.493268087,0.249743519,0.454270975,0.796908774,0.973548727,2.510339945,4.834032672,6.136261047,1.613230284,1.745519065,2.408941965,3.731033931,0.183394657,0.236375198,0.822845786,1.886357236,0.722234193,0.685218476,0.616943596,0.523956883,0.496831131,0.339607165,0.24970422,0.151809735,0.699720214,0.671147953,0.526678056,0.355831083,0.452285811,0.29624932,0.228372908,0.198762479
300,US,UONN,16.0,200.0,8.0,0.193283138,0.169168758,0.366284944,0.702734875,,,,,1.779727465,1.999307209,2.762561006,4.234178626,0.209889838,0.56619237,0.988834358,1.600291972,0.753904416,0.752460817,0.714578932,0.661142505,,,,,0.74422697,0.582855573,0.450062577,0.331852071,0.224800723,0.22606344,0.181504204,0.108317102
301,US,CONN,17.0,200.0,8.0,1.066565494,2.365928046,2.285095324,1.979929727,7.141317181,9.574345218,12.31053842,13.48448036,0.68157204,0.953893287,1.802319122,3.306620151,69.244607,73.99450585,78.99183056,83.19429072,0.820414728,0.568502414,0.525912563,0.486997076,0.186697622,0.129728541,0.08684273,0.069907382,5.93e-05,5.79e-05,6.23e-05,7e-05,0.387995828,0.338596918,0.254174596,0.146285298
302,US,CONNb,17.0,200.0,8.0,0.441511239,0.424793887,0.954652509,1.605820114,0.741210661,0.752867265,0.947359292,1.253946306,0.864572189,0.82583313,1.313237602,2.204637042,0.189617462,0.301447101,0.749842873,1.487627064,0.839901992,0.757125266,0.566905251,0.437336572,0.612263772,0.60679305,0.535106564,0.444433722,0.70523514,0.739494058,0.698464983,0.575826299,0.353644713,0.379187464,0.304378017,0.196878879
303,US,UONN,17.0,200.0,8.0,0.621644437,0.061043393,0.061709542,0.206690314,0.1950757,0.367243032,0.729696379,1.153130907,1.08058973,1.187561088,1.567053229,2.341086903,-0.084918404,0.380307733,0.747566015,1.157782309,0.964374896,0.807223291,0.71145665,0.661006827,0.659901632,0.643261976,0.568311695,0.467563696,0.869933819,0.707583534,0.603976071,0.54548796,0.384056132,0.367648113,0.301020039,0.201702849
304,US,UONNb,17.0,200.0,8.0,0.608849765,0.606624393,0.697155358,0.818845827,3.594954108,5.861253554,10.26515044,15.10347056,0.828158406,1.335318553,2.108792024,3.428095822,0.179122049,0.252541238,0.564321708,1.023605132,0.540752538,0.542778525,0.508261719,0.463710656,0.248084021,0.135624351,0.080865386,0.054938385,0.706705236,0.689350407,0.578398931,0.450835038,0.330485109,0.304128066,0.244235725,0.144705936
305,US,CONN,18.0,200.0,8.0,0.435767281,0.351652212,0.122194911,0.122968068,0.504357392,0.386795676,0.53974063,0.882562623,0.058164902,0.523453919,1.075545344,1.656022115,-0.06194593,-0.065755134,0.397757499,1.175708648,0.818095101,0.771264007,0.773943947,0.766257154,0.495865072,0.554811303,0.533375798,0.469508936,0.763186643,0.750860417,0.611563291,0.44862107,0.67365205,0.505102155,0.361784036,0.255035603
306,US,UONN,18.0,200.0,8.0,0.01830304,-0.098807393,0.0056464,0.259634508,0.828698737,1.19852317,2.227817917,3.248459558,0.781904293,1.03388159,1.724005705,2.971012558,0.365204785,0.429645508,0.720920978,1.062937029,0.766795728,0.78432958,0.757186091,0.702745222,0.448353222,0.364980223,0.258349063,0.182775605,0.621170636,0.609669074,0.512410489,0.408306362,0.32507683,0.287048426,0.200484142,0.13098266
307,US,CONNb,18.0,200.0,8.0,0.067840669,0.2763504,0.765798142,1.523490056,7.040265542,9.173695509,12.58715384,13.07853522,4.367394843,6.168687293,5.957372597,6.353712267,-0.387135836,0.125202324,0.438363746,0.651484664,0.874023471,0.79424896,0.674054627,0.545941107,0.268777695,0.232198444,0.166280625,0.157193704,0.906010806,0.73310318,0.624338918,0.539005749,0.278571846,0.210179684,0.142118893,0.111266781
308,US,UONNb,18.0,200.0,8.0,1.072233643,0.859216371,0.493616472,0.55355165,4.565516221,7.301150907,9.279728779,9.678635976,0.815545697,0.874138347,1.195794267,1.878050559,0.162015927,0.30945716,0.816581994,1.676623714,0.761599642,0.700929827,0.698736761,0.683382615,0.278448496,0.200270272,0.142850011,0.134452987,0.703738998,0.754864309,0.745921616,0.663040549,0.440249176,0.423757596,0.345331039,0.226419971
309,US,CONNb,19.0,200.0,8.0,-0.081691043,0.530004452,1.307490736,2.264571994,7.485681436,11.4921833,14.30371591,11.83910982,1.449110318,1.357368112,1.683078123,2.21204995,-0.098334779,0.086749867,0.707673946,1.693212397,0.908539794,0.789112559,0.620500601,0.483630778,0.246524165,0.188504705,0.148432386,0.137312965,0.793030728,0.757688892,0.596041371,0.408046904,0.247745673,0.240298465,0.189198204,0.135226362
310,US,CONN,19.0,200.0,8.0,0.130860034,-0.01999371,0.070229625,0.351451523,3.283213012,4.860595262,6.936296111,7.68354034,1.095418848,1.77846142,3.535853893,6.461730194,0.013230403,0.030244658,0.543402978,1.365717991,0.780549265,0.776450124,0.731766632,0.655038751,0.270530891,0.235252768,0.204772226,0.177629283,0.735327342,0.725068227,0.564338154,0.401670439,0.329267977,0.27497947,0.192562956,0.124662151
311,US,UONN,19.0,200.0,8.0,0.153294153,0.060652549,0.365372185,0.868683163,2.459689207,1.648329768,1.661178254,1.807634498,1.114731806,1.208924678,1.596853013,2.369290272,0.115830825,0.270472604,0.489671747,0.935140803,0.837847211,0.814047199,0.723212302,0.577789671,0.103724123,0.218748392,0.226435961,0.206190393,0.707869112,0.711220898,0.671847863,0.570283765,0.316580634,0.293564616,0.223087764,0.139080054
312,US,UONNb,19.0,200.0,8.0,0.606655658,-0.018581257,0.028065541,0.410628295,1.234840903,0.997758909,0.966892134,1.02556412,3.109553542,2.64011373,2.448535552,2.582916349,0.224856709,0.356286995,0.717303017,1.230911856,0.805244969,0.773546187,0.711829867,0.607893485,0.542928228,0.537050394,0.502345652,0.463572997,0.683684965,0.643253253,0.523278565,0.392488903,0.14153427,0.141668324,0.13319756,0.126385822
